Predict,Target,Error
6.186987775436137e-07,0.0,3.827881750722434e-13
2.0738541934406385e-05,0.0,4.3008713257464137e-10
0.04820321127772331,0.0,0.002323549473658204
0.6794678568840027,0.0,0.46167656779289246
0.0005330352578312159,0.0,2.8412659958121367e-07
2.6098510019778587e-08,0.0,6.811322271721258e-16
0.9939842820167542,1.0,3.618886330514215e-05
0.07073057442903519,0.0,0.005002814345061779
0.005139235407114029,0.0,2.6411740691401064e-05
0.023379473015666008,0.0,0.0005465997382998466
3.422453301027417e-05,0.0,1.1713187086925814e-09
0.09326585382223129,1.0,0.8221668601036072
2.025101508706939e-07,0.0,4.1010360526342465e-14
0.4801694452762604,1.0,0.27022382616996765
1.1938894203922246e-05,0.0,1.4253719038404e-10
0.037326835095882416,0.0,0.0013932925648987293
6.943316364568797e-13,0.0,4.820964170962972e-25
0.0077651385217905045,0.0,6.029737778590061e-05
0.999116837978363,1.0,7.799751529091736e-07
5.491830101789219e-09,0.0,3.0160196273765465e-17
0.002406079787760973,0.0,5.789219812868396e-06
0.11650422215461731,0.0,0.013573233969509602
0.3338128626346588,0.0,0.11143102496862411
0.018298763781785965,0.0,0.00033484474988654256
0.03125149756669998,0.0,0.0009766560979187489
0.07647138833999634,0.0,0.005847873166203499
0.06054743751883507,0.0,0.0036659922916442156
3.258477954659611e-05,0.0,1.0617678958269039e-09
0.5591538548469543,1.0,0.19434532523155212
2.2053125121601624e-06,0.0,4.863403083033013e-12
0.03438851609826088,0.0,0.0011825700057670474
0.001422334578819573,0.0,2.02303567675699e-06
1.463952571612026e-06,0.0,2.1431571795016424e-12
0.8255889415740967,1.0,0.03041921742260456
1.0855561782818768e-07,0.0,1.178432216175293e-14
0.28022128343582153,0.0,0.07852397114038467
0.003353902604430914,0.0,1.1248662303842138e-05
6.460772965510841e-07,0.0,4.1741588484300873e-13
0.9982878565788269,1.0,2.9314351195353083e-06
1.749506139958612e-08,0.0,3.0607718190513394e-16
1.5070854393537453e-18,0.0,2.2713065213326327e-36
0.0010370253585278988,0.0,1.0754215509223286e-06
0.841825008392334,1.0,0.02501932717859745
0.006210623774677515,0.0,3.8571848563151434e-05
0.9110627174377441,1.0,0.00790983997285366
0.00998373981565237,0.0,9.96750604826957e-05
0.9817118644714355,1.0,0.00033445589360781014
0.008804223500192165,0.0,7.75143489590846e-05
0.004931354429572821,0.0,2.431825669191312e-05
